Team,Wins,Losses,Draws,Points,Scores,Conceded,MatchesPlayed
"Liverpool",13,0,1,40,32,12,14
"Man City",9,3,2,29,39,16,14
"Leicester City",9,2,2,29,31,8,13
"Chelsea",8,4,2,26,28,20,14
"Tottenham",5,4,5,20,24,21,14
"Wolverhampton",4,2,8,20,19,17,14
"Sheffield Utd",4,3,7,19,17,13,14
"Arsenal",4,3,7,19,20,21,14
"Burnley",5,6,3,18,20,20,14
"Crystal Palace",5,6,3,18,13,18,14
"Man United",4,4,5,17,19,15,13
"Bournemouth",4,6,4,16,18,20,14
"West Ham",4,6,4,16,17,23,14
"Newcastle",4,6,4,16,13,22,14
"Brighton & Hove Albion",4,7,3,15,16,21,14
"Aston Villa",4,7,2,14,19,20,13
"Everton",4,7,2,14,13,20,13
"Southampton",3,8,3,12,15,32,14
"Norwich",3,9,2,11,15,30,14
"Watford",1,8,5,8,9,28,14
